financial_year;corporate_buildings;travel;public_lighting;total;emissions_per_fte;annual_change;total_change
2014/15;24909;4402;9529;38841;6.523842357;-10.40862145;-17.06865923
2012/13;28910;3728;10945;43584;6.773446515;8.503311137;-6.941815537
2019/20;13276;3975;2821;20073;4.023207765;-11.52444356;-57.14106244
2009/10;29741;4968;12357;47067;7.141139933;0.776983002;0.494270691
2008/09;29794;4596;12445;46835;7.236694224;0.0;0.0
2017/18;17521;3398;4267;25187;4.813129972;-16.45428281;-46.22197897
2015/16;22104;3981;6830;32917;5.737584129;-23.78411942;-29.71800715
2011/12;26480;3927;10924;41332;6.450451203;-14.39355046;-11.74954032
2018/19;14597;3986;3171;21755;4.297489396;-19.58563021;-53.54917061
2016/17;19453;3701;5233;28388;5.156967886;-20.48797233;-39.38758298
2013/14;26995;4395;10260;41651;6.735681496;-6.686747016;-11.06938271
2010/11;29969;3820;11856;45646;6.910384884;-4.777521782;-2.539475336
